Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,Coverage,EchoLink,IRLP,Notes,Nets,Downlink Tone,Links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Affiliate,Web links,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Grid,Central Regional,AllStar,Commands,YSF Digital Enabled,DG-ID,WIRES-X,D-STAR Enabled,Node,Sources,Bandwidth,Local Network,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Feed,Worldwide,English,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Wyoming,WyLOCAL,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Local or Reflector,CKRG,KansasLink,Kansas
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,,0,W,,08,163,40.58440018,-102.30200195,146.955,146.355,,Phillips,Unknown,PCARC,E-power.,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,100,WA0JTB,"Sterling, CO",CO,OPEN,,,47.56,W,,08,238,40.62559891,-103.20700073,145.295,144.695,100,Logan,,NECARA,"Autopatch, e-power.",CCARC,2020-01-17,On-Air,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,,48.34,NE,ON - In Conference IRLP 0082,31,11025,41.12820053,-101.72000122,146.76,146.16,123,Keith,,Charlie Allen,,,2015-07-09,On-Air,,751985,7349,Linked to 146.940 in North Platte and 442.250 south of North Platte,Sun at 19:30. Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,56.23,WSW,,08,2,40.16059875,-103.21399689,145.4,144.8,88.5,Washington,,Colorado Connection,,CCARC,2018-11-02,On-Air,Northeastern plains of Colorado.,,,Part of the Colorado Connection system of repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,123,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,56.24,WSW,,08,16784,40.16049957,-103.21399689,448.175,443.175,,Morgan,,W0FT,,CCARC,2019-11-27,On-Air,,,,,,,,yes,7,310833,RMHAM c Record retrieved from radioid.net,,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,82.12,WSW,,08,10783,40.25030136,-103.80000305,448.2,443.2,,Morgan,,,Mixed Mode,CCARC,2019-11-27,On-Air,,,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,Full-time to the Colorado TRBO System .,yes,7,310812,RMHR c Record retrieved from radioid.net,,NEAHR,Rocky Mountain Ham Radio,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.835,-0.6,CSQ,K0KDC,North Platte,NE,OPEN,,,88.56,E,,31,44,41.12390137,-100.76499939,146.835,146.235,CSQ,Lincoln,,K0KDC,,,2019-05-05,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,,NE0NP,North Platte,NE,OPEN,,,88.56,E,,31,43,41.12390137,-100.76499939,146.7,146.1,,Lincoln,,North Platte Progressive Amateur Radio Club,E-power.,,2018-10-14,Off-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,123,N0IQ,North Platte,NE,OPEN,EI,,89.27,E,Node Offline,31,11023,41.14030075,-100.76000214,147.33,147.93,123,Lincoln,,Randy Allen,,,2020-01-19,On-Air,,857936,7627,IRLP status down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,123,N0IQ,North Platte,NE,OPEN,EI,,89.27,E,Node Offline,31,11022,41.14030075,-100.76000214,444.4,449.4,123,Lincoln,,Randy Allen,,,2014-05-04,On-Air,Maxwell to Sutherland across I-80.,857936,7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
