ID,StateID,Callsign,Use,Status,SquelchTone,DigitalTone,VOIP,Location.Latitude,Location.Longitude,Location.County,Location.State,Location.Local,Frequency.Input,Frequency.Output,Digital.P25,Digital.DStar,Digital.YSF,Digital.DMR.ColorCode,Digital.DMR.ID,Digital,SquelchTone.Input,SquelchTone.Output,VOIP.AllStar,VOIP.Wires,VOIP.EchoLink.NodeID,VOIP.IRLP.NodeID,VOIP.EchoLink,VOIP.IRLP,VOIP.AllStar.NodeID,Digital.DMR,VOIP.Wires.ID,Digital.YSF.GroupID.Input,Digital.YSF.GroupID.Output,Digital.DStar.Node,Digital.P25.NAC,DigitalTone.Input,DigitalTone.Output
16784,8,W0FT,Open,On-Air,,,,40.16049957,-103.21399689,Morgan,CO,Akron,443.175,448.175,,,,7,310833,,,,,,,,,,,,,,,,,,
2,8,KB0VJJ,Open,On-Air,,,,40.16059875,-103.21399689,Washington,CO,Akron,144.8,145.4,,,,,,,88.5,123,,,,,,,,,,,,,,,
10783,8,W0FT,Open,On-Air,,,,40.25030136,-103.80000305,Morgan,CO,"Fort Morgan, Fort Morgan EOC",443.2,448.2,,,,7,310812,,,,,,,,,,,,,,,,,,
238,8,WA0JTB,Open,On-Air,,,,40.62559891,-103.20700073,Logan,CO,"Sterling, CO",144.695,145.295,,,,,,,100,,,,,,,,,,,,,,,,
163,8,N0JUN,Open,Other,,,,40.58440018,-102.30200195,Phillips,CO,Holyoke,146.355,146.955,,,,,,,,,,,,,,,,,,,,,,,
13581,8,K0RTS,Open,On-Air,,,,39.27830124,-103.5,Lincoln,CO,"Genoa, Limon",441.7375,446.7375,,,,8,310829,,,,,,,,,,,,,,,,,,
9583,8,K0UPS,Open,On-Air,,,,39.37030029,-103.8010025,Elbert,CO,Cedar Point,444.25,449.25,,,,,,,123,123,,,3349,3349,,,,,,,,,,,
128,8,KE0AE,Open,On-Air,,,,39.26879883,-103.48799896,Lincoln,CO,Genoa,147.66,147.06,,,,,,,103.5,,,,,,,,42740,,,,,,,,
122,8,KE0AE,Open,On-Air,,,,39.30329895,-102.60500336,Kit Carson,CO,Stratton,146.295,146.895,,,,,,,103.5,,,,830619,,,,,,,,,,,,
8216,8,K0EB,Open,On-Air,,,,40.02019882,-104.64199829,Weld,CO,Hudson,444.925,449.925,,,,,,,114.8,114.8,,,448035,8035,,,,,,,,,,,
17059,8,KC0VJD,Open,On-Air,,,,39.05419922,-103.48000336,Lincoln,CO,Hugo,442,447,,,,,,,,,,,,,,,,,30534,Open ↑,Open ↓,,,,
157,8,KC0KWD,Open,On-Air,,,,40.26119995,-104.70600128,Weld,CO,LaSalle,147.6,147,,,,,,,,,,,,3839,,,,,,Open ↑,Open ↓,,,,
158,8,KC0KWD,Open,On-Air,,,,40.26119995,-104.70600128,Weld,CO,Greeley,443.475,448.475,,,,,,,100,,,,,3839,,,,,,,,,,,
12167,8,WA0DE,Open,On-Air,,,,39.22669983,-104.08999634,Elbert,CO,Simla,147.705,147.105,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
9771,8,KE0SJ,Open,On-Air,,,,40.00719833,-104.71600342,Adams,CO,Lochbuie,442.625,447.625,,,,,,,100,,,,,,,,,,,,,,,,
156,8,W0UPS,Open,On-Air,,,,40.40359879,-104.69999695,Weld,CO,"Greeley, UNC",146.25,146.85,,,,,,,100,100,,,,,,,,,,,,,,,
159,8,K0OJ,Open,On-Air,,,,40.40370178,-104.70300293,Weld,CO,"Greeley, UNC",444.725,449.725,,,,,,,127.3,,,,,,,,,,,,,,,,
18521,8,KB0VGD,Open,On-Air,,,,40.42331314,-104.70912933,Weld,CO,Greeley,440.1375,445.1375,,,,2,,,,,,,,,,,,,,,,,,,
8210,8,WR0AEN,Open,On-Air,,,,40.4233017,-104.70899963,Weld,CO,Greeley,444.325,449.325,,,,,,,,,,,,,,,,,,,,WR0AEN (B),,,
14732,8,KI0HC,Open,On-Air,,,,39.53910065,-104.56900024,Douglas,CO,Parker,902.025,927.7375,,,,,,,100,100,,,,,,,,,,,,,293,,
8739,8,AC0KC,Open,On-Air,,,,40.02759933,-104.78900146,Weld,CO,Fort Lupton,442.3,447.3,,,,,,,107.2,,,,405804,3887,,,,,,,,,,,
8183,8,AC0KC,Open,On-Air,,,,40.08470154,-104.81300354,Weld,CO,Fort Lupton,223.36,224.96,,,,,,,,,,,,,,,,,,,,,,,
9765,8,WE0FUN,Open,On-Air,,,,39.79669952,-104.7480011,Denver,CO,"Denver, Green Valley Ranch",443.15,448.15,,,,,,,141.3,141.3,,,24340,,,,29436,,,,,,,,
5,8,KB0UDD,Open,On-Air,,,,39.6072998,-104.74099731,Arapahoe,CO,"Aurora, Smoky Hill",144.8,145.4,,,,,,,100,,,,,,,,,,,,,,,,
8741,8,N0OBA,Open,On-Air,,,,39.62799835,-104.75800323,Arapahoe,CO,Aurora,144.59,145.19,,,,,,,151.4,131.8,,,10079,,,,,,,,,,,,
8207,8,WR0AEN,Open,On-Air,,,,39.69670105,-104.80999756,Arapahoe,CO,Aurora,444.15,449.15,,,,,,,,,,,,,,,,,,,,WR0AEN (B),,,
92,8,KB0UDD,Open,On-Air,,,,39.72940063,-104.83100128,Denver,CO,"Aurora, Smokey Hill",443.5,448.5,,,,,,,100,,,,,,,,,,,,,,,,
8202,8,N0ZUQ,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,443.4,448.4,,,,,,,94.8,,,,,,,,,,,,,,,,
8199,8,W0BG,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,443.275,448.275,,,,,,,156.7,,,,,,,,,,,,,,,,
8743,8,W9SL,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,444.95,449.95,,,,,,,77,77,,,,,,,,,,,,,,,
16032,8,WN7ANT,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,443.825,448.825,,,,,,,,,,,,,,,,,30584,Open ↑,Open ↓,,,,
17292,8,K0PRA,Open,On-Air,,,,39.44910049,-104.70300293,Douglas,CO,Parker,440.075,445.075,,,,1,310844,,,,,,,,,,,,,,,,,,
18248,8,K0PRA,Open,On-Air,,,,39.51860046,-104.76100159,Arapahoe,CO,Parker,441.9,446.9,,,,,,,,,,,,,,,,,40895,Open ↑,Open ↓,,,,
17696,8,N0KEG,Open,Other,,,,39.51860046,-104.76100159,Douglas,CO,Parker,443.05,448.05,,,,1,310374,,,,,,,,,,,,,,,,,,
274,8,WQ8M,Open,On-Air,,,,39.55799866,-104.79399872,Douglas,CO,Parker,443.7,448.7,,,,,,,146.2,,,,,,,,,,,,,,,,
8188,8,N6RFI,Open,On-Air,,,,40.58100128,-104.90599823,Weld,CO,"Severance, Cactus Hill",442.2,447.2,,,,,,,82.5,,,,,,,,,,,,,,,,
11473,8,K0PRA,Open,On-Air,,,,39.39350128,-104.67500305,Douglas,CO,Franktown,441.85,446.85,,,,,,,,,,,,,,,,,,,,K0PRA (B) Repeater,,,
7395,8,N1FSX,Open,On-Air,,,,38.85200119,-103.69999695,Lincoln,CO,Punkin Center,444.9,449.9,,,,,,,107.2,,,,,,,,,,,,,,,,
12562,8,W0DMR,Open,On-Air,,,,40.54460144,-104.94400024,Larimer,CO,"Fort Collins, Timnath",147.99,147.39,,,,2,310822,,,,,,,,,,,,,,,,,,
10995,8,W0DMR,Open,On-Air,,,,40.59379959,-104.9260025,Larimer,CO,"Fort Collins, Timnath",441.775,446.775,,,,2,310806,,,,,,,,,,,,,,,,,,
3621,8,W0UPS,Open,On-Air,,,,40.44400024,-104.98899841,Larimer,CO,"Loveland, Budweiser Event Center",443.025,448.025,,,,,,,100,100,,,,,,,,,,Open ↑,Open ↓,,,,
185,8,K0ML,Open,On-Air,,,,39.88560104,-104.98699951,Adams,CO,Northglenn,147.645,147.045,,,,,,,123,,,,,,,,,,,,,,,,
58,31,N0NEB,Open,On-Air,,,,41.49000168,-103.75499725,Banner,NE,Harrisburg,146.4,147,,,,,,,103.5,,,,,,,,,,,,,,,,
17676,8,N0KEG,Open,Other,,,,39.58069992,-104.8769989,Arapahoe,CO,Centennial,147.915,147.315,,,,1,310759,,,,,,,,,,,,,,,N0KEG (C) Repeater,,,
8189,8,N0ESQ,Open,On-Air,,,,39.49420166,-104.83599854,Douglas,CO,"Parker, Hess Reservoir",442.525,447.525,,,,,,,203.5,146.2,,,,,,,,,,,,,,,
12216,8,W0JRL,Open,On-Air,,,,39.75519943,-104.98699951,Denver,CO,"Denver, Broadway Plaza Lofts",442.175,447.175,,,,,,,100,100,,,201712,,,,29997,,,,,,,,
75,8,KE0SJ,Open,On-Air,,,,39.73920059,-104.98400116,Jefferson,CO,"Boulder, Blue Mountain",144.875,145.475,,,,,,,100,,,,,,,,,,,,,,,,
